station,valid,lon[unit="degrees_east"],lat[unit="degrees_north"],tmpc[unit="Celsius"],dwpc[unit="Celsius"],drct[unit="degrees"],sknt[unit="knots"],mslp[unit="hectoPascal"],vsby[unit="US_statute_mile"],gust[unit="knots"],wxcodes,gustmax[unit="knots"]
MJQ,2019-02-24 21:35,-94.9865,43.6500,-13.00,-17.00,300.00,19.00,M,1.75,35.00,HZ,M
CFE,2019-02-24 21:35,-93.8433,45.1590,-12.89,-17.39,M,M,M,1.50,M,HZ,M
FKA,2019-02-24 21:35,-92.1797,43.6767,-12.22,-14.72,290.00,23.00,M,0.75,30.00,-SN,M
BJI,2019-02-24 21:35,-94.9337,47.5094,-19.11,-22.89,290.00,24.00,M,0.50,32.00,-SN,M
BFW,2019-02-24 21:35,-91.4098,47.2521,-11.00,-17.00,300.00,14.00,M,3.00,32.00,HZ,M
LJF,2019-02-24 21:35,-94.5072,45.0971,-13.00,-18.00,300.00,20.00,M,3.00,33.00,HZ,M
MGG,2019-02-24 21:35,-93.9856,45.2360,-12.28,-17.00,300.00,15.00,M,5.00,26.00,HZ,M
CQM,2019-02-24 21:35,-92.6894,47.8219,-14.00,-18.00,290.00,22.00,M,1.00,28.00,-SN,M
HCD,2019-02-24 21:35,-94.3825,44.8599,-13.22,-16.50,280.00,21.00,M,0.75,29.00,-SN,M
3N8,2019-02-24 21:35,-95.9281,47.2605,-18.72,-22.11,320.00,24.00,M,0.50,M,-SN,M
LYV,2019-02-24 21:35,-96.2158,43.6212,-15.00,-18.00,310.00,19.00,M,1.50,32.00,HZ,M
ROS,2019-02-24 21:35,-92.9530,45.6980,-9.28,-16.78,290.00,15.00,M,7.00,23.00,M,M
JKJ,2019-02-24 21:35,-96.6640,46.8393,-16.00,-19.00,320.00,18.00,M,0.50,25.00,HZ,M
AEL,2019-02-24 21:35,-93.3672,43.6815,-13.00,-14.00,290.00,21.00,M,0.75,32.00,-SN,M
D39,2019-02-24 21:35,-94.9334,45.7066,-15.89,-20.00,300.00,24.00,M,2.00,29.00,HZ,M
9MN,2019-02-24 21:35,-92.4831,44.0198,-11.78,-14.22,260.00,25.00,M,5.00,40.00,M,M
PNM,2019-02-24 21:35,-93.6082,45.5599,-12.00,-18.00,280.00,15.00,M,2.50,30.00,HZ,M
SAZ,2019-02-24 21:35,-94.8066,46.3809,-17.00,-22.00,290.00,21.00,M,2.00,28.00,HZ,M
CKN,2019-02-24 21:35,-96.6214,47.8417,-18.00,-21.00,340.00,20.00,M,2.50,M,HZ,M
BBB,2019-02-24 21:35,-95.6506,45.3319,-15.00,-17.00,350.00,25.00,M,0.50,29.00,-SN,M
AIT,2019-02-24 21:35,-93.6768,46.5484,-13.00,-21.00,280.00,11.00,M,5.00,24.00,-SN,M
HCO,2019-02-24 21:35,-96.9430,48.7527,-19.00,-23.00,330.00,19.00,M,2.00,27.00,HZ,M
ELO,2019-02-24 21:35,-91.8371,47.8287,-13.00,-19.00,300.00,15.00,M,2.50,36.00,-SN,M
FGN,2019-02-24 21:35,-94.9028,49.3183,-18.00,-23.00,310.00,26.00,M,1.00,36.00,-SN,M
CKC,2019-02-24 21:35,-90.3829,47.8383,-12.00,-16.00,310.00,21.00,M,0.75,32.00,-SN,M
SGS,2019-02-24 21:35,-93.0329,44.8571,-10.00,-16.11,290.00,16.00,M,2.00,29.00,HZ,M
MOX,2019-02-24 21:35,-95.9672,45.5660,-15.00,-18.00,320.00,28.00,M,0.75,33.00,M,M
PQN,2019-02-24 21:35,-96.3004,43.9821,-15.00,-18.00,310.00,23.00,M,1.25,30.00,-SN,M
DTL,2019-02-24 21:35,-95.8856,46.8252,-16.00,-20.00,320.00,18.00,M,2.50,25.00,HZ,M
DYT,2019-02-24 21:35,-92.0434,46.7219,-9.00,-14.00,280.00,23.00,M,1.75,33.00,HZ,M
MZH,2019-02-24 21:35,-92.8048,46.4186,-11.00,-19.00,290.00,18.00,M,5.00,29.00,HZ,M
DXX,2019-02-24 21:35,-96.1779,44.9864,-13.00,-17.00,310.00,23.00,M,4.00,29.00,HZ,M
MVE,2019-02-24 21:35,-95.7103,44.9691,-14.00,-17.00,360.00,18.00,M,0.50,24.00,-SN,M
BDH,2019-02-24 21:35,-95.1304,45.1177,-14.00,-18.00,300.00,25.00,M,4.00,39.00,M,M
MWM,2019-02-24 21:35,-95.1094,43.9134,-14.00,-17.00,280.00,25.00,M,1.00,33.00,HZ,M
ADC,2019-02-24 21:35,-95.2109,46.4503,-18.00,-22.00,310.00,19.00,M,2.00,31.00,HZ,M
PWC,2019-02-24 21:35,-94.3817,46.7248,-16.00,-22.00,300.00,14.00,M,10.00,22.00,M,M
HZX,2019-02-24 21:35,-93.3098,46.6188,-12.00,-18.00,290.00,17.00,M,2.50,28.00,M,M
GYL,2019-02-24 21:35,-94.0812,44.7560,-12.50,-16.22,280.00,20.00,M,2.00,31.00,HZ,M
TOB,2019-02-24 21:35,-92.8315,44.0180,-13.00,-16.00,280.00,27.00,M,0.50,33.00,-SN,M
JMR,2019-02-24 21:35,-93.2718,45.8861,-10.00,-18.00,280.00,19.00,M,3.00,26.00,-SN,M
VVV,2019-02-24 21:35,-96.4244,45.3057,-14.00,-19.00,310.00,22.00,M,3.00,30.00,HZ,M
ULM,2019-02-24 21:35,-94.5000,44.3200,-13.00,-17.00,310.00,20.00,M,2.50,30.00,HZ,M
MOT,2019-02-24 21:35,-101.2803,48.2594,M,M,300.00,19.00,M,10.00,25.00,M,M
FAR,2019-02-24 21:35,-96.8111,46.9253,M,M,300.00,21.00,M,2.50,M,HZ,M
GFK,2019-02-24 21:35,-97.1761,47.9492,M,M,330.00,17.00,M,10.00,M,M,M
DVL,2019-02-24 21:35,-98.9083,48.1146,M,M,290.00,20.00,M,3.00,M,HZ,M
BIS,2019-02-24 21:35,-100.7458,46.7727,M,M,310.00,18.00,M,10.00,M,M,M
HEI,2019-02-24 21:35,-102.6560,46.0149,M,M,330.00,14.00,M,10.00,M,M,M
DIK,2019-02-24 21:35,-102.8019,46.7973,M,M,310.00,14.00,M,10.00,M,M,M
ISN,2019-02-24 21:35,-103.6366,48.1738,M,M,330.00,13.00,M,10.00,M,M,M
D60,2019-02-24 21:35,-102.8974,48.3803,-22.00,-25.00,310.00,17.00,M,3.00,25.00,HZ,M
Y19,2019-02-24 21:35,-100.8944,46.7680,-19.00,-23.00,320.00,20.00,M,10.00,M,M,M
S25,2019-02-24 21:35,-103.2552,47.7966,-21.00,-26.00,330.00,12.00,M,10.00,M,M,M
D50,2019-02-24 21:35,-103.2973,48.9285,-22.00,-26.00,310.00,17.00,M,6.00,M,HZ,M
2D5,2019-02-24 21:35,-98.0799,46.1731,-18.00,-21.00,310.00,19.00,M,2.50,25.00,HZ,M
20U,2019-02-24 21:35,-103.9821,46.9252,-20.00,-25.00,340.00,13.00,M,10.00,M,M,M
46D,2019-02-24 21:35,-99.1513,47.4511,-19.00,-22.00,300.00,24.00,M,0.50,32.00,HZ,M
7L2,2019-02-24 21:35,-100.2456,46.2206,-18.00,-23.00,310.00,17.00,M,8.00,22.00,M,M
08D,2019-02-24 21:35,-102.4064,48.3008,-22.00,-25.00,310.00,17.00,M,10.00,23.00,M,M
9D7,2019-02-24 21:35,-99.2364,48.4800,-19.00,-24.00,300.00,18.00,M,10.00,M,M,M
BAC,2019-02-24 21:35,-98.0180,46.9412,M,M,M,M,M,M,M,M,M
GWR,2019-02-24 21:35,-97.6435,46.2187,-17.00,-21.00,310.00,19.00,M,4.00,24.00,HZ,M
HZE,2019-02-24 21:35,-101.5810,47.2899,-19.00,-23.00,310.00,18.00,M,5.00,25.00,HZ,M
D55,2019-02-24 21:35,-98.3937,48.7531,-19.00,-23.00,310.00,19.00,M,3.00,25.00,HZ,M
2C8,2019-02-24 21:35,-97.6320,48.7837,-18.00,-24.00,330.00,19.00,M,5.00,M,HZ,M
RUG,2019-02-24 21:35,-100.0243,48.3904,-21.00,-24.00,300.00,22.00,M,1.75,28.00,HZ,M
96D,2019-02-24 21:35,-97.9028,48.9406,-18.00,-24.00,340.00,14.00,M,10.00,20.00,M,M
S32,2019-02-24 21:35,-98.1059,47.4228,-18.00,-21.00,300.00,21.00,M,2.50,28.00,HZ,M
GAF,2019-02-24 21:35,-97.3709,48.4047,-17.00,-23.00,330.00,17.00,M,8.00,M,M,M
D57,2019-02-24 21:35,-101.8602,46.8128,-19.00,-25.00,310.00,17.00,M,9.00,26.00,M,M
5H4,2019-02-24 21:35,-99.9317,47.7912,-21.00,-24.00,310.00,23.00,M,1.75,M,-SN,M
06D,2019-02-24 21:35,-99.6208,48.8844,-21.00,-25.00,330.00,21.00,M,4.00,M,HZ,M
PIR,2019-02-24 21:35,-100.2860,44.3827,M,M,310.00,17.00,M,10.00,M,M,M
MHE,2019-02-24 21:35,-98.0386,43.7748,M,M,310.00,16.00,M,10.00,21.00,M,M
HON,2019-02-24 21:35,-98.2286,44.3852,M,M,320.00,21.00,M,2.50,M,HZ,M
IEN,2019-02-24 21:35,-102.5110,43.0225,M,M,50.00,10.00,M,M,M,M,M
ICR,2019-02-24 21:35,-99.8422,43.3903,M,M,310.00,19.00,M,9.00,M,M,M
FSD,2019-02-24 21:35,-96.7536,43.5769,M,M,320.00,19.00,M,2.00,M,M,M
ATY,2019-02-24 21:35,-97.1547,44.9140,M,M,300.00,18.00,M,3.00,M,HZ,M
MBG,2019-02-24 21:35,-100.4078,45.5464,M,M,320.00,18.00,M,7.00,24.00,M,M
CUT,2019-02-24 21:35,-103.6114,43.7331,M,M,170.00,8.00,M,10.00,M,M,M
9V9,2019-02-24 21:35,-99.3183,43.7667,-14.22,-19.00,310.00,17.00,M,10.00,21.00,M,M
ABR,2019-02-24 21:35,-98.4200,45.4500,M,M,310.00,21.00,M,4.00,M,HZ,M
RAP,2019-02-24 21:35,-103.0574,44.0453,M,M,20.00,15.00,M,10.00,M,M,M
PHP,2019-02-24 21:35,-101.6000,44.0500,M,M,340.00,9.00,M,10.00,M,M,M
BKX,2019-02-24 21:35,-96.8169,44.3048,M,M,300.00,27.00,M,1.25,M,-SN,M
YKN,2019-02-24 21:35,-97.3859,42.9167,M,M,300.00,18.00,M,4.00,M,-SN,M
MDS,2019-02-24 21:35,-97.0859,44.0160,-17.00,-18.00,310.00,20.00,M,2.00,29.00,-SN,M
SPF,2019-02-24 21:35,-103.7830,44.4803,-16.00,-21.00,50.00,8.00,M,10.00,M,M,M
