station,valid,lon[unit="degrees_east"],lat[unit="degrees_north"],tmpc[unit="Celsius"],dwpc[unit="Celsius"],drct[unit="degrees"],sknt[unit="knots"],mslp[unit="hectoPascal"],vsby[unit="US_statute_mile"],gust[unit="knots"],wxcodes,gustmax[unit="knots"]
BRD,2019-02-24 17:35,-94.1308,46.4047,M,M,310.00,21.00,M,4.00,M,M,M
TVF,2019-02-24 17:35,-96.1850,48.0657,M,M,320.00,28.00,M,0.25,M,+SN,M
PKD,2019-02-24 17:35,-95.0700,46.9000,M,M,310.00,24.00,M,1.00,33.00,UP,M
AXN,2019-02-24 17:35,-95.3947,45.8663,M,M,300.00,33.00,M,1.00,41.00,HZ,M
MIC,2019-02-24 17:35,-93.3539,45.0620,M,M,290.00,24.00,M,10.00,32.00,M,M
MKT,2019-02-24 17:35,-93.9200,44.2200,M,M,310.00,30.00,M,0.50,37.00,SN,M
STP,2019-02-24 17:35,-93.0600,44.9345,M,M,300.00,26.00,M,7.00,33.00,M,M
INL,2019-02-24 17:35,-93.3981,48.5614,M,M,300.00,19.00,M,3.50,M,M,M
LVN,2019-02-24 17:35,-93.2273,44.6252,-8.00,-12.00,280.00,24.00,M,1.25,36.00,HZ,M
21D,2019-02-24 17:35,-92.8557,44.9975,-8.00,-12.00,290.00,19.00,M,1.25,32.00,HZ,M
Y49,2019-02-24 17:35,-94.6453,47.1595,-15.61,-20.50,290.00,19.00,M,1.25,34.00,HZ,M
D39,2019-02-24 17:35,-94.9334,45.7066,-13.50,-17.39,310.00,26.00,M,1.00,36.00,-SN,M
SYN,2019-02-24 17:35,-93.0163,44.4755,-8.78,-12.50,290.00,30.00,M,0.75,M,-SN,M
CFE,2019-02-24 17:35,-93.8433,45.1590,-10.22,-15.22,M,M,M,1.25,M,-SN,M
FKA,2019-02-24 17:35,-92.1797,43.6767,-10.28,-12.61,290.00,23.00,M,M,31.00,M,M
AEL,2019-02-24 17:35,-93.3672,43.6815,-11.00,-11.00,300.00,19.00,M,0.50,33.00,-SN,M
3N8,2019-02-24 17:35,-95.9281,47.2605,-17.89,-20.89,320.00,19.00,M,0.75,32.00,-SN,M
HCD,2019-02-24 17:35,-94.3825,44.8599,-11.39,-14.50,280.00,24.00,M,0.25,35.00,-SN,M
BBB,2019-02-24 17:35,-95.6506,45.3319,-13.00,-16.00,350.00,32.00,M,0.50,41.00,FZFG,M
DXX,2019-02-24 17:35,-96.1779,44.9864,-12.00,-16.00,310.00,27.00,M,1.50,34.00,HZ,M
MJQ,2019-02-24 17:35,-94.9865,43.6500,-12.00,-15.00,300.00,29.00,M,0.75,35.00,HZ,M
LJF,2019-02-24 17:35,-94.5072,45.0971,-11.00,-15.00,290.00,16.00,M,4.00,29.00,HZ,M
SGS,2019-02-24 17:35,-93.0329,44.8571,-7.28,-13.22,300.00,16.00,M,4.00,24.00,HZ,M
PWC,2019-02-24 17:35,-94.3817,46.7248,-13.00,-19.00,310.00,16.00,M,4.00,23.00,-SN,M
TOB,2019-02-24 17:35,-92.8315,44.0180,-11.00,-13.00,280.00,25.00,M,M,36.00,M,M
PQN,2019-02-24 17:35,-96.3004,43.9821,-14.00,-17.00,310.00,19.00,M,1.50,28.00,HZ,M
MZH,2019-02-24 17:35,-92.8048,46.4186,-8.00,-15.00,300.00,19.00,M,5.00,29.00,HZ,M
MVE,2019-02-24 17:35,-95.7103,44.9691,-13.00,-17.00,340.00,25.00,M,2.00,35.00,HZ,M
MOX,2019-02-24 17:35,-95.9672,45.5660,-13.00,-17.00,320.00,33.00,M,0.75,42.00,M,M
AIT,2019-02-24 17:35,-93.6768,46.5484,-11.00,-17.00,300.00,13.00,M,5.00,27.00,HZ,M
GHW,2019-02-24 17:35,-95.3204,45.6439,-14.00,-17.00,300.00,26.00,M,1.00,32.00,BR,M
HCO,2019-02-24 17:35,-96.9430,48.7527,-18.00,-21.00,330.00,24.00,M,0.25,35.00,-SN,M
LYV,2019-02-24 17:35,-96.2158,43.6212,-13.00,-17.00,300.00,24.00,M,0.75,31.00,HZ,M
TKC,2019-02-24 17:35,-95.6072,44.2491,-12.61,-15.00,310.00,26.00,M,0.50,31.00,-SN,M
9MN,2019-02-24 17:35,-92.4831,44.0198,-9.72,-11.50,270.00,27.00,M,M,41.00,M,M
ROS,2019-02-24 17:35,-92.9530,45.6980,-7.61,-14.00,300.00,15.00,M,4.00,26.00,HZ,M
MWM,2019-02-24 17:35,-95.1094,43.9134,-13.00,-15.00,290.00,26.00,M,0.50,38.00,-SN,M
AUM,2019-02-24 17:35,-92.9333,43.6647,-8.00,-14.00,290.00,24.00,M,0.50,38.00,-SN,M
RGK,2019-02-24 17:35,-92.4868,44.5915,-7.00,-13.00,290.00,20.00,M,2.50,25.00,-SN,M
GDB,2019-02-24 17:35,-95.5560,44.7533,-11.00,-14.00,290.00,24.00,M,0.75,35.00,HZ,M
ULM,2019-02-24 17:35,-94.5000,44.3200,-11.00,-14.00,310.00,24.00,M,0.75,35.00,-SN,M
HZX,2019-02-24 17:35,-93.3098,46.6188,-10.00,-15.00,290.00,12.00,M,3.00,25.00,M,M
ELO,2019-02-24 17:35,-91.8371,47.8287,-9.00,-14.00,300.00,15.00,M,2.50,31.00,-SN,M
RRT,2019-02-24 17:35,-95.3483,48.9414,-17.00,-21.00,310.00,24.00,M,0.25,33.00,+SN,M
Y63,2019-02-24 17:35,-95.9920,45.9861,-15.78,-18.50,290.00,30.00,M,0.75,39.00,BR,M
FGN,2019-02-24 17:35,-94.9028,49.3183,-17.00,-21.00,320.00,32.00,M,0.75,36.00,HZ,M
PNM,2019-02-24 17:35,-93.6082,45.5599,-10.00,-15.00,280.00,24.00,M,0.50,30.00,-SN,M
TWM,2019-02-24 17:35,-91.7450,47.0492,-8.00,-14.00,290.00,14.00,M,3.00,25.00,HZ,M
GYL,2019-02-24 17:35,-94.0812,44.7560,-10.61,-13.78,290.00,29.00,M,0.50,35.00,-SN,M
VVV,2019-02-24 17:35,-96.4244,45.3057,-13.00,-17.00,310.00,25.00,M,1.50,35.00,HZ,M
FSE,2019-02-24 17:35,-95.7735,47.5928,-18.00,-23.00,320.00,21.00,M,0.75,30.00,HZ,M
SAZ,2019-02-24 17:35,-94.8066,46.3809,-15.00,-19.00,300.00,23.00,M,3.00,28.00,HZ,M
CKN,2019-02-24 17:35,-96.6214,47.8417,-18.00,-21.00,340.00,32.00,M,0.25,37.00,SN,M
VWU,2019-02-24 17:35,-94.5167,48.1539,-14.00,-18.00,300.00,16.00,M,5.00,22.00,HZ,M
BFW,2019-02-24 17:35,-91.4098,47.2521,-6.00,-12.00,280.00,13.00,M,3.00,23.00,HZ,M
JKJ,2019-02-24 17:35,-96.6640,46.8393,-16.00,-20.00,330.00,26.00,M,0.75,35.00,-SN,M
MGG,2019-02-24 17:35,-93.9856,45.2360,-10.11,-14.50,290.00,15.00,M,1.50,29.00,HZ,M
04W,2019-02-24 17:35,-92.8952,46.0229,-8.00,-13.00,280.00,15.00,M,3.00,25.00,HZ,M
CQM,2019-02-24 17:35,-92.6894,47.8219,-12.00,-16.00,280.00,20.00,M,1.00,27.00,-SN,M
ONA,2019-02-24 17:35,-91.7083,44.0772,-7.00,-11.00,300.00,20.00,M,3.00,33.00,-SN,M
BJI,2019-02-24 17:35,-94.9337,47.5094,-16.72,-20.22,300.00,29.00,M,0.50,32.00,-SN,M
DYT,2019-02-24 17:35,-92.0434,46.7219,-7.00,-11.00,290.00,31.00,M,1.50,36.00,-SN,M
CKC,2019-02-24 17:35,-90.3829,47.8383,-6.00,-9.00,300.00,20.00,M,0.50,31.00,-SN,M
DTL,2019-02-24 17:35,-95.8856,46.8252,-16.00,-19.00,310.00,24.00,M,0.50,39.00,-SN,M
